,text,label
242,i will breed probably in real life too because of all the axs i will be getting,1
243,buy more axiescreate more competitive teams,1
244,buy land that is my goal ever since i start playing axie after that i will start stream on ytni think season 20 is the most enjoyable and competitive everyone wanna be top in the leaderbords to get that axs and sorry i wont get easy on you guys i need that axs to buy axies,1
245,ill be reinvesting it buy more axies to provide more scholarships started as a scholar reinvested everything and now i got 6 scholars,1
246,will buy axies too for sure,1
247,would probably buy a house and i will finish college,1
248,brag to all my friends,1
249,this game is truly incredible good nft games such as this one and always amaze me with their gameplay and graphic,1
250,i would tweet about it and maybe share some with our scholars,1
251,finnaly no boring adventure again,1
252,i will exchange it to weth and buy more axies for my scholars and personally build thems teams that i think would be fun to play and competitive at the same time,1
253,i will share some to my relativds and fruends,1
254,19 out of 20 my scholars stop playing the games since last season between 1000mmrme they are lucky get 10 win a per day 10 slp x002 20 cents for spend 2 hours,1
255,i bought a reptile so i can beat the reptile reptile plant combo,1
256,i hope these updates will help for slp pump,1
257,please help me buy them i want to have a happy lunar new year with my mom,1
258,buy my own axie team,1
259,i would buy new axies and help some friends who would like to get into the game but dont have the resources,1
260,i buy land in landgame axie infinity,1
261,wow great i hoping for that,1
262,here bro a gift of gratitude for the economic update,1
263,help and feed those hungry street children,1
264,i would quit my job lol,1
265,buy a car for my job and the rest axs i will hold it,1
266,buy 1 of every single meta axie,1
267,axiebuilders were building an axiethemed game inspired by classic snake but with some exciting twists,1
268,i will buy the mystic axies,1
269,ill buy more teams build build build,1
270,just got scammed 09 eth so yeah that would totally make up for that lol and get married,1
271,definetly buy a origin axie,1
272,honestly kindly inbox on instagram for his perfect service he is awesome and legit he just recovered mine,1
273,to be honest on instagram for his perfect service he is awesome and legit he just recovered mine,1
274,good day sirmaammanager im interested to get a scholarship,1
275,here got 14 wins and 6 losses tonight but i only got 71 slp for 20 energy still playing and enjoying the gamennbut its a good step on limiting the average daily minted slp hope slp will pump at least php 300 to php 500 on the following weeks or months,1
276,trying to make dawns work cuz theyre pretty,1
277,you will miss out by leaving,1
278,love the momentum phase were entering right now great things coming lets go,1
279,yep for sure its yours and its good to have his own opinion i understand but for me adventure its like out of the ecosysteme and some people abuse the system with bots ectnfor the short i think its the best for axie i think leave the ship its hard for this to me,1
280,im with my aap for this season they seem to be balanced and strong lets go,1
281,git good and time to reinvest,1
282,a real project and awesome roadmap if you want to win 100x buy and hold reward urubit,1
283,your bug sucks if you change it with plant with disguise that will help you go up and reach the moon,1
284,can anyone help me to buy these axies i want to rebuild my team and i just need some funds thank youn,1
285,leave now we will stay we love axie,1
286,omg my axies are back thanks to mcgincybertech on instagram or whatsapp him 12722261914 for your immediate recovery he is awesome and legit he just recovered mine,1
287,strategy chill and enjoy anticipate the strategy of the opponent,1
288,help us earn so we can buy better axie please releaae updates on slp burning for axie infinity we cant wait for origin,1
289,my team slptegy the moon,1
290,he seems to have made very good decisions free riders leave us no free slp anymore,1
291,please use slp in the new game this will revalue slp this so easy,1
292,the new season sucks crit 3 times in round 1 in each cards of 3 axie very perfert and cheers to this new season,1
293,holding the slps like the last season,1
294,my strategy is to buy 3 axies lol,1
295,since you nerf all of my scholar teams only the few ones that can battle arena stayed to play of my aap aab termi teams sideline now season 20 should be the last season release origins and burning mechanism to make this game fun again we have been so patient already,1
296,the idea of the changes is that less slp is produced because there is too much 4 times more than what is burned that is you make less slp but those are worth more,1
297,fun exciting gameplay made for everyone,1
298,my two scho stop playing becz they have weak axies xfer back to my accnt damit im enjoying arena with 40 energy thou less slp and cheap but yeah it satisfied me as a player im sad to my scho oldmates at pi no extra income to them but extra joy on plying to arena,1
299,like for slp above 2 cents,1
300,and this is really good news because most traders believe that this coin has a lot of potential and now look it has really a good mark in the market as well as on kucoins,1
301,if you say youve reduced the rewards then why did slp increase by 300 million after the start of season 20,1
302,then pump axs so that the rewards is beneficiary,1
303,sorry for the disturbance pls like and rt it will be a great help,1
304,nice the sentiments around origin release are heating up again looks like we scholars need to hustle more to gain slp for the future burnings soon there are 1500 like me already here the community is expanding,1
305,go to marketplace nice axie,1
306,hope slp to 004 usd again,1
307,i want to play the teams i want so ill reinvest in axie 100nmy cheap team would get a competition,1
308,lezgoooow slp up up up,1
309,if you lose an argument then better look for an exit comment good job and next time dont you ever flex your mmr coz its easy to achieved go ahead and play your pegaxy you need than money,1
310,what you want is free money fight for it and stopped crying,1
311,after that then the origin will be relased right so the slp will again right right,1
312,slp rewards have been rewards at certain levelsns sense,1
313,we kicked out the loyal players who spent money to buy axie and let us make a profit by copying the bottom slp great team ha ha,1
314,slp the crazy rise is coming,1
315,for s21 if you decide to give players that amount in axs so 200000 axs to the winner and so on this game will grow 10x in one month,1
316,slp still number 1 on kucoins weekly top gainers,1
317,this is true if you see the numbers of slp and trade data it dont look good but cryptos dont work that way fear and greed its more important than data and the team are building something new and huge think about that i believe in,1
318,thank you so much lt3,1
319,there is no maximum supply its an unlimited utility token its used for breeding and soon maybe other things in the game this fact has been transparent from the beginning,1
320,stop crying and play the game,1
321,im not blind i can see the risk and i can understand your point but i believe in with all my heart this project is so huge and fun that i cant not leave im going to stay even having 1 chance to see it become true,1
322,fly me to the moon,1
323,good thing for long term players less dau less supply more demand higher price,1
324,yeah they did to keep the players from leaving they buyback to make the slp a stable price thats why the slp keeps pumping 0018 then 0025 now and keeps pumping,1
325,5 slp a day gang lets gooooooo,1
326,at least the update is much more useful than you,1
327,they did slp buyback thats why slp pump twice,1
328,seems like slp will be 1 soon and x2 for axs,1
329,i wish you all the best,1
330,cool the gameplay and the visual design of this game is truly amazing hope this game and become more popular,1
331,this is a good update for long term low slp minting just dont let breeding cost higher again we die hahaha,1
332,i like it i like it,1
333,hope it helps on the slp prices if not its already gone,1
334,,1
335,i hope to see a better breakthrough in slp price he fell a lot i hope not too longgood luck,1
336,slp is harder to earn now niceee,1
337,optimistic but also ready for a bit of a winter glhf,1
338,i love this update this is pure play to earn gamingnly have to compete for the prize slp and if you want roi you need to play really well fight to get the money,1
339,good day manager can grind 10slp per day,1
340,lets trust the process guys even we get mad to this developers we cant do anything for now but to deal with it and thrive all i wish is best success both players and devs community the future is bright,1
341,go go go time to chase the new meta,1
342,good job drop me a dm guys,1
343,slp to the moon soon,1
344,at least slp gonna be 01 gtgtgt leastltltlt,1
345,heheheh looks sneaky anyways gl for season 20 and thanks for ur tweets hopefully land gameplay soon,1
346,no cheap slp anymore lol,1
347,i dont play axienit requires alot moneye soon we can earn good roi,1
348,i just get 20slp today so good,1
349,i got 16 slp today this is a big help for a scholar like me thanks a lot sky mavis,1
350,huge congratulations to axie infinity team ni am part of this amazing community since beginning,1
351,the best going for it,1
352,start online parttime job and get paid weekly,1
353,slp go to ath 040 cent,1
354,congratulations slp holders in binance,1
355,very soon the coinbase listing is on the way slp slp,1
356,congrats slp to the moon,1
357,best time to buy lets go wolverinu wolverinun,1
358,stake your axs and earn 137 rewards in vempire ddaos vemp token plus rewards in axs amp slp,1
359,please determine the maximum supply of slpnif you make your supply clear people will trust you morele like safe harbordy wants to go into a bottomless well,1
360,oh yeah this is lit lets go breeding spree slp,1
361,i stumbled across this video today i duno who this guy is but thanks i bought a bag of slp just intime,1
362,hopefully it will pump axs not only slp,1
363,i did my own research i earned and loss a lot in this game but i enjoy playing it i believe in this one,1
364,sir do you believe in the metaverse i do believe and i dont see slp as unlimited money i see slp as time spent playing the game in the future can be transformed into many many things thats why i like slp for me slp time,1
365,as long as the slp value increases to more than 007 us dollars players are still willing to choose to invest in the game to pvp to earn slp and develop together with my its very constructive,1
366,no im new to axie but i like games and playing,1
367,thankyou for lifting your game and giving us hope now lets make it thrive,1
368,congratulations axie community to the moon mars later after v3,1
369,road to 1 million followers,1
370,axis is a good project i am big fan my ronin adress is0x710c292b4e10d66a2a52847ea1cb9bdcd79092c8,1
371,a milli a milli a milli,1
372,could give a prize to all players who are with their axies firm and strong in axie infinity as a way of celebrating 1 million followers to come,1
373,hope the cute axie continue keep going,1
374,slp token the best project,1
375,lets make axie great again,1
376,please follow na great game to 1million nn to the moon follow,1
377,economic medicine was needed its great to see devs taking drastic decisions for the long term sustainability of the ecosystem short term pain for long term gain,1
378,lets continue to glorify slp,1
379,lets all get to 1m,1
380,6500 to the moon sir bryce,1
381,thank you for including axie league in your announcements nnour website is live for those who want to show interest in joining season 1,1
382,congrats man glad to have you,1
383,lets bring it on nto the moon,1
384,1m soon lets keep building axie to infinity,1
385,drop axie origins 1 million followers,1
386,really glad devs are doing something about slp,1
387,wow this is incredibly good just clicking dont agree i guess your skills too enjoy awesome brother,1
388,haha i hate this team toobut now i join them,1
389,just being optimistic for the next season,1
390,i think their doin fine sir honestly i just bought these terribly cute axies recently so i am still clicking buttons i think my biggest fear now are those who have aggressive plants with cattail i was 1600 i manage to go 1900 just by clicking buttons haha so pretty good,1
391,i love this new team that i just put together now im uploading it little by little while i learn to play with it,1
392,yes sir lets hit the 1m mark soon lets go,1
393,i always love using aap standard lam my first ever team in this game and still using it today the happy times wayback aap is a monster in season 18 reaching high mmr 1819k nearly and the stress because they got nerfed in s19 still loving it because i treat my axies as a pet,1
394,these are my boys my only team so far so my actual favorites haha axieteam axieinfinity,1
395,we fell a lot before and we still need a better breakthroughgood luck,1
396,bmp gang all the way whos with me,1
397,yup nerfing is fine for me after all axies have unlimited capacity to earn slp and they dont die,1
398,always loved using bbp not the strongest but well balanced and fun to use,1
399,spread love slp pampslp axieinfinity,1
400,what a great team dude props,1
401,my 3 days old team see you on s20,1
402,to celebrate axie 900k axie is going to give me 9000 slpn3ea5f4240638d57cab96a1249b790e9f6b5ca1e8n hahaha,1
403,our favorite team is the devs,1
404,wish i had it love that team,1
405,we love playing with our puns,1
406,i am very excited it touched mennow its time for you to see that ship sailing between your lands now only one land is missing,1
407,oh damn joined since april 2021 im not lucky ncan i get this one i love it so much,1
408,thanks im one of them,1
409,can i suggest a gundbound gameplay of axie i think its kinda cute and awesome,1
410,we have reserved 600 of these awesome items for future promotions such as tournaments contests and axie releasing events nnthe total supply of r0n1n21 is 3538,1
411,this is why the nft community is so strong,1
412,like for slp above 3 cents aim higher,1
413,im waiting for season 20 to buy some more axies,1
414,a lot of awesome tourneys taking place make sure you stay updated 6500 in rewards is insane,1
415,this is a good move axie so far so good give value to your community do collabs hire new recruits if you run out of ideas nyou couldve done sooner but oh well better late than never,1
416,axie infinity is awesome he can make the community panic and cheer up friends greetings slp,1
417,excited to see new people being added to the team so consistently,1
418,this is a real good move,1
419,congrats and welcome to the family,1
420,wow le todo tu hilo qu hermosa historia muchas felicidades eres una persona que desde tu foto de perfil ya ests transmitiendo alegra tienes una hija preciosa adelante embajador lets go to the moon,1
421,congratulations sir you make the world a little bit more beautiful every day,1
422,congratulations sir you really deserve it youre very kind and very helpful to our axie community more blessings to come such an inspiration,1
423,i love you k you for this great game,1
424,thanks you pump the slp price,1
425,super well deserved you have done a lot for our community you fill everyone around you with such god and positive energy n is just the beginning,1
426,congratulations lima love your journey,1
427,over the moon for you,1
428,congrats bro you deserve everything,1
429,congratulations brother were proud of you,1
430,felt a tear come down while reading your story congratulations you deserve all good things in life,1
431,free to play is here wow nice sir,1
432,wow thats why is slp pumping congratulation,1
433,congratssss and goodluck to you sirrrr,1
434,all of us have different stories to tell and yours is indeed a very inspiring and motivating congrats proud follower here godbless u and ur family,1
435,well deserved congrats and good luck to your journey god bless you and your family,1
436,congratulations lima u deserve all the good things in the world lt3,1
437,you are awesome thank you so much,1
438,congratulations on the new position well deserved latam is in good hands,1
439,hellooo victoriaaa youre so cuteee and u have a great dad lt3,1
440,congratulations se help make axieinfinity a very awesome game,1
441,welcome to ur new journey do always your best we believe in your skills,1
442,absolutely inspiring amp beautiful you rock and youre just getting started in impacting humanitynnim grateful we have ambassadors like you brother nnthe best is yet to come,1
443,good luck on your new journey kuya we lunacians always support n love younwagmi,1
444,congrats lima wow inspired by your story my salute,1
445,congratulatiosyou deserve all the love blessings and happiness you are also a blessing to us all thank you so much,1
446,congratulations lima you are outstanding kind outgoing and most warm hearted member of the community happy for you well deserved,1
447,this made me happy lima never changed up or threw any shade at when chips were down,1
448,congrats sir you deserve it,1
449,yes slp to the moon we should see slp back to 006 atleast,1
450,it has been a long way coming for you and im happy about your progress nngo and keep making your family friends and axis community proudnnone love,1
451,inspiring story keep motivating bless you sir,1
452,congrats brother you deserved everything youre receiving,1
453,congratulations i hope i can be at some event in lima i would love to be present,1
454,congratulation proud of you from philippines l ka namin,1
455,congrats lima and glad to hear youve transformed your experience of life,1
456,this is truly inspiring still battling with depression and anxiety but ill get there someday,1
457,congrats brother axie infinity is so lucky to have you,1
458,congratulations my friend nyoure so luckyn,1
459,congratulations lima we are so excited for you,1
460,well played congrats brother well deserved we love you and proud of you,1
461,congrats hard work pays off lets build,1
462,congrats you deserved all the happy moments,1
463,congratulations lima you deserve it and the axie community is a stronger place to have you officially on board keep spreading the positive energy and bringing more of latin american countries onboard,1
464,cograts bro nyou deserved all the blessing that came in to your life n philippines will keep supporting and loving you,1
465,congratsgreat fit to a great company,1
466,congratulations your life story is very inspiring thanks for sharing,1
467,chain reaction of happiness congratulations to you cant wait to see more smiles,1
468,dont you thinks that fucking beast with critical averages is far beyond any other axies i have double dusk and its funny that a beast could beat 3 character by it self nso fuck your strategy that someone like me bought a team about 1300 and now i stucked in 1200 mmr fuck u,1
469,nobody deserves it more than you brother keep on making huge strides and being the positivr force that you are congratulations,1
470,congratulation my friend you deserve it vamo con todo,1
